job_id,Title,Company,Location,Date,Category
urn:li:jobPosting:3834491549,Junior Tax,Shopee,"Jakarta, Indonesia",2025-09-19,Accountant
urn:li:jobPosting:4287123917,Accounting & Tax Staff,Kobi Education,"Jakarta, Jakarta, Indonesia",2025-08-20,Accountant
urn:li:jobPosting:4311795802,Accounting and Tax Staff,INNOCEAN Indonesia,"South Jakarta, Jakarta, Indonesia",2025-10-08,Accountant
urn:li:jobPosting:4280158301,Accountant,Marriott International,"Jakarta, Jakarta, Indonesia",2025-10-09,Accountant
urn:li:jobPosting:4270270263,Tax Staff,Orang Tua Group,"Jakarta, Jakarta, Indonesia",2025-07-21,Accountant
urn:li:jobPosting:4265324758,Accountant,Halliburton,"Tangerang, Banten, Indonesia",2025-07-11,Accountant
urn:li:jobPosting:4309758519,Accountant,Vitol,"Jakarta, Jakarta, Indonesia",2025-10-06,Accountant
urn:li:jobPosting:4243674052,Assistant Accountant,Liven,"Jakarta, Jakarta, Indonesia",2025-06-06,Accountant
urn:li:jobPosting:3940827630,Tax Consultant,EY,"Jakarta, Jakarta, Indonesia",2025-09-21,Accountant
urn:li:jobPosting:3804542730,Akuntansi dan Perpajakan / Tax accountant,PT DAYA CIPTA MANDIRI SOLUSI,"Bandung, Banten, Indonesia",2024-01-18,Accountant
urn:li:jobPosting:4298972533,Assistant Manager Accounts Payable,SKINTIFIC,"South Jakarta, Jakarta, Indonesia",2025-09-11,Accountant
urn:li:jobPosting:4284115852,Accountant — SCG Indonesia,SCG,"Jakarta, Indonesia",2025-08-13,Accountant
urn:li:jobPosting:4304208405,Accounting & Tax,Tentang Anak,"Jakarta, Indonesia",2025-09-26,Accountant
urn:li:jobPosting:4250834830,Junior Tax Accounting Staff,StickEarn,"Gambir, Jakarta, Indonesia",2025-06-17,Accountant
urn:li:jobPosting:4307006676,AR Accountant,8x8,"Jakarta, Indonesia",2025-09-30,Accountant
urn:li:jobPosting:4298559742,General Accountant,PT Ultra Sakti,"Kelapa Gading, Jakarta, Indonesia",2025-09-15,Accountant
urn:li:jobPosting:4306341113,Finance Accounting Manager,PT Tempo Scan Pacific Tbk,"South Jakarta, Jakarta, Indonesia",2025-09-29,Accountant
urn:li:jobPosting:4308724939,Tax Staff,PT Esensi Solusi Buana (ESB),"Jakarta, Indonesia",2025-10-06,Accountant
urn:li:jobPosting:4295843519,Systems Accountant,Sulzer,"Kecamatan Purwakarta, Banten, Indonesia",2025-09-30,Accountant
urn:li:jobPosting:4291768739,Accountant,Oil States International,"Batam, Riau Islands, Indonesia",2025-09-01,Accountant
urn:li:jobPosting:4308817176,"GL, FA & Recon Staff",UOB,"Pontianak, West Kalimantan, Indonesia",2025-10-03,Accountant
urn:li:jobPosting:4309487359,Finance Accounting Manager,IDN,Jakarta Metropolitan Area,2025-10-06,Accountant
urn:li:jobPosting:4303015573,Financial Controller,Jakarta Aquarium & Safari,"Grogol Petamburan, Jakarta, Indonesia",2025-09-19,Accountant
urn:li:jobPosting:4312926652,GENERAL ACCOUNTANT,PT Ultra Sakti,"Jakarta, Jakarta, Indonesia",2025-10-10,Accountant
urn:li:jobPosting:3704346044,"Tax Specialist, Legal and Finance",Shopee,"Jakarta, Indonesia",2025-09-21,Accountant
urn:li:jobPosting:4307040996,Accounting Tax Staff,Focallure,"Jakarta, Jakarta, Indonesia",2025-09-09,Accountant
urn:li:jobPosting:4307131948,Back End Asset Management Car - Branch Depok,Suzuki Finance Indonesia,"Pancoran Mas, West Java, Indonesia",2025-09-28,Accountant
urn:li:jobPosting:4265446012,Commercial Accounting Manager (Discount & Allowance),PepsiCo,"Jakarta, Jakarta, Indonesia",2025-10-10,Accountant
urn:li:jobPosting:4312983862,Junior Accountant,Adapundi,"Jakarta, Indonesia",2025-10-10,Accountant
urn:li:jobPosting:4307601869,Accountant,PT. Alcotraindo Batam,"Batam, Riau Islands, Indonesia",2025-10-01,Accountant
urn:li:jobPosting:4312663952,Chief Accountant,Metso,Jakarta Metropolitan Area,2025-10-10,Accountant
urn:li:jobPosting:4300646420,"Assistant Manager, Accounting & Finance",Apical,"Kecamatan Dumai Timur, Riau, Indonesia",2025-10-09,Accountant
urn:li:jobPosting:4310302982,Reporting General Leger (Project Based),ParagonCorp,"Jakarta, Indonesia",2025-10-07,Accountant
urn:li:jobPosting:4284024399,Accountant/Senior Accountant,Coda,"Jakarta, Jakarta, Indonesia",2025-10-07,Accountant
urn:li:jobPosting:4312916933,Tax & Accounting Staff,"REPAIRIFY, INC.","Jakarta, Jakarta, Indonesia",2025-10-10,Accountant
urn:li:jobPosting:4283859990,Accounting Manager,PT Chandra Asri Pacific Tbk,"Jakarta, Indonesia",2025-09-10,Accountant
urn:li:jobPosting:4284091452,Tax Staff,byOrange,"Jakarta, Jakarta, Indonesia",2025-08-13,Accountant
urn:li:jobPosting:4309828960,Staff Accounting Tax,PT Suksesindo Group,Greater Surabaya,2025-10-03,Accountant
urn:li:jobPosting:4250093560,Accounting & Tax Staff,PT Maju Bersama Gemilang,"Central Java, Indonesia",2025-06-13,Accountant
urn:li:jobPosting:4288655517,SAP Consultant Financial Accounting (FI) [Project Based],PT. Sigma Cipta Caraka (Telkomsigma),"South Jakarta, Jakarta, Indonesia",2025-08-20,Accountant
urn:li:jobPosting:4299108195,Fixed Asset Accountant,VinFast Indonesia,"Subang, West Java, Indonesia",2025-09-11,Accountant
urn:li:jobPosting:4302408914,Accounting and Tax Staff,PT Pendanaan Teknologi Nusa,"Tangerang Regency, Banten, Indonesia",2025-09-18,Accountant
urn:li:jobPosting:4309870079,Staff Tax Accountant,PT. Gaya Makmur Tractors,"Jakarta, Indonesia",2025-10-03,Accountant
urn:li:jobPosting:4309736998,Tax Specialist,FOOM LAB GLOBAL,"South Jakarta, Jakarta, Indonesia",2025-10-06,Accountant
urn:li:jobPosting:4301943130,Accounting & Tax Specialist,Arya Noble,"Jakarta, Jakarta, Indonesia",2025-09-17,Accountant
urn:li:jobPosting:4110996296,Accounting Compliance and Reporting Consultant - Tax Division,EY,"Jakarta, Jakarta, Indonesia",2025-10-05,Accountant
urn:li:jobPosting:4264322661,Accountant (Project Costing),PaxOcean,"Batam, Riau Islands, Indonesia",2025-09-24,Accountant
urn:li:jobPosting:4307970099,Internal Control Over Financial Reporting,OCBC Indonesia,"Jakarta, Indonesia",2025-10-02,Accountant
urn:li:jobPosting:4199412648,Senior Accountant,ZettaByte Pte Ltd,"Bali, Indonesia",2025-04-04,Accountant
urn:li:jobPosting:4309607264,Accountant - Multinational FMCG,ACCA Careers,Jakarta Metropolitan Area,2025-09-29,Accountant
